agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
finetuned-gemma9b,overall,all,all,0.67,0.47,0.45,0.43,110,58,34,120,52
finetuned-gemma9b,macro_avg,rigidity,all,0.65,0.29,0.29,0.29,22,10,11,33,12
finetuned-gemma9b,per_class,rigidity,+R,0.45,0.62,0.53,0.57,15,8,5,2,7
finetuned-gemma9b,per_class,rigidity,-R,0.95,0.00,0.00,0.00,1,0,0,21,1
finetuned-gemma9b,per_class,rigidity,~R,0.55,0.25,0.33,0.29,6,2,6,10,4
finetuned-gemma9b,macro_avg,identity,all,0.84,0.43,0.47,0.45,22,18,3,19,4
finetuned-gemma9b,per_class,identity,+I,0.82,0.86,0.95,0.90,19,18,3,0,1
finetuned-gemma9b,per_class,identity,-I,0.86,0.00,0.00,0.00,3,0,0,19,3
finetuned-gemma9b,macro_avg,own_identity,all,0.50,0.47,0.21,0.28,22,4,4,18,18
finetuned-gemma9b,per_class,own_identity,+O,0.36,0.33,0.08,0.12,13,1,2,7,12
finetuned-gemma9b,per_class,own_identity,-O,0.64,0.60,0.33,0.43,9,3,2,11,6
finetuned-gemma9b,macro_avg,unity,all,0.71,0.57,0.66,0.52,22,12,9,35,10
finetuned-gemma9b,per_class,unity,+U,0.73,1.00,0.54,0.70,13,7,0,9,6
finetuned-gemma9b,per_class,unity,-U,0.64,0.43,0.43,0.43,7,3,4,11,4
finetuned-gemma9b,per_class,unity,~U,0.77,0.29,1.00,0.44,2,2,5,15,0
finetuned-gemma9b,macro_avg,dependence,all,0.66,0.61,0.62,0.60,22,14,7,15,8
finetuned-gemma9b,per_class,dependence,+D,0.68,0.38,0.60,0.46,5,3,5,12,2
finetuned-gemma9b,per_class,dependence,-D,0.64,0.85,0.65,0.73,17,11,2,3,6
