agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
finetuned-llama3b,overall,all,all,0.58,0.36,0.39,0.33,110,54,56,98,56
finetuned-llama3b,macro_avg,rigidity,all,0.79,0.23,0.33,0.27,22,15,7,37,7
finetuned-llama3b,per_class,rigidity,+R,0.68,0.68,1.00,0.81,15,15,7,0,0
finetuned-llama3b,per_class,rigidity,-R,0.95,0.00,0.00,0.00,1,0,0,21,1
finetuned-llama3b,per_class,rigidity,~R,0.73,0.00,0.00,0.00,6,0,0,16,6
finetuned-llama3b,macro_avg,identity,all,0.50,0.53,0.57,0.44,22,11,11,11,11
finetuned-llama3b,per_class,identity,+I,0.50,0.90,0.47,0.62,19,9,1,2,10
finetuned-llama3b,per_class,identity,-I,0.50,0.17,0.67,0.27,3,2,10,9,1
finetuned-llama3b,macro_avg,own_identity,all,0.41,0.45,0.48,0.34,22,9,13,9,13
finetuned-llama3b,per_class,own_identity,+O,0.41,0.50,0.08,0.13,13,1,1,8,12
finetuned-llama3b,per_class,own_identity,-O,0.41,0.40,0.89,0.55,9,8,12,1,1
finetuned-llama3b,macro_avg,unity,all,0.61,0.25,0.27,0.26,22,9,13,31,13
finetuned-llama3b,per_class,unity,+U,0.45,0.54,0.54,0.54,13,7,6,3,6
finetuned-llama3b,per_class,unity,-U,0.45,0.22,0.29,0.25,7,2,7,8,5
finetuned-llama3b,per_class,unity,~U,0.91,0.00,0.00,0.00,2,0,0,20,2
finetuned-llama3b,macro_avg,dependence,all,0.45,0.33,0.29,0.31,22,10,12,10,12
finetuned-llama3b,per_class,dependence,+D,0.45,0.00,0.00,0.00,5,0,7,10,5
finetuned-llama3b,per_class,dependence,-D,0.45,0.67,0.59,0.62,17,10,5,0,7
