agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
finetuned-mistral7b,overall,all,all,0.60,0.40,0.36,0.32,110,52,48,106,58
finetuned-mistral7b,macro_avg,rigidity,all,0.48,0.19,0.09,0.12,22,4,16,28,18
finetuned-mistral7b,per_class,rigidity,+R,0.36,0.57,0.27,0.36,15,4,3,4,11
finetuned-mistral7b,per_class,rigidity,-R,0.36,0.00,0.00,0.00,1,0,13,8,1
finetuned-mistral7b,per_class,rigidity,~R,0.73,0.00,0.00,0.00,6,0,0,16,6
finetuned-mistral7b,macro_avg,identity,all,0.64,0.53,0.48,0.47,22,13,7,15,9
finetuned-mistral7b,per_class,identity,+I,0.64,0.92,0.63,0.75,19,12,1,2,7
finetuned-mistral7b,per_class,identity,-I,0.64,0.14,0.33,0.20,3,1,6,13,2
finetuned-mistral7b,macro_avg,own_identity,all,0.45,0.71,0.48,0.36,22,9,11,11,13
finetuned-mistral7b,per_class,own_identity,+O,0.45,1.00,0.08,0.14,13,1,0,9,12
finetuned-mistral7b,per_class,own_identity,-O,0.45,0.42,0.89,0.57,9,8,11,2,1
finetuned-mistral7b,macro_avg,unity,all,0.70,0.19,0.28,0.23,22,11,9,35,11
finetuned-mistral7b,per_class,unity,+U,0.55,0.58,0.85,0.69,13,11,8,1,2
finetuned-mistral7b,per_class,unity,-U,0.64,0.00,0.00,0.00,7,0,1,14,7
finetuned-mistral7b,per_class,unity,~U,0.91,0.00,0.00,0.00,2,0,0,20,2
finetuned-mistral7b,macro_avg,dependence,all,0.73,0.38,0.44,0.41,22,15,5,17,7
finetuned-mistral7b,per_class,dependence,+D,0.77,0.00,0.00,0.00,5,0,0,17,5
finetuned-mistral7b,per_class,dependence,-D,0.68,0.75,0.88,0.81,17,15,5,0,2
