agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
finetuned-qwen7b,overall,all,all,0.81,0.73,0.67,0.66,110,82,21,133,28
finetuned-qwen7b,macro_avg,rigidity,all,0.83,0.71,0.73,0.59,22,16,5,39,6
finetuned-qwen7b,per_class,rigidity,+R,0.82,0.87,0.87,0.87,15,13,2,5,2
finetuned-qwen7b,per_class,rigidity,-R,0.86,0.25,1.00,0.40,1,1,3,18,0
finetuned-qwen7b,per_class,rigidity,~R,0.82,1.00,0.33,0.50,6,2,0,16,4
finetuned-qwen7b,macro_avg,identity,all,0.95,1.00,0.81,0.89,22,20,0,22,2
finetuned-qwen7b,per_class,identity,+I,0.95,1.00,0.95,0.97,19,18,0,3,1
finetuned-qwen7b,per_class,identity,-I,0.95,1.00,0.67,0.80,3,2,0,19,1
finetuned-qwen7b,macro_avg,own_identity,all,0.75,0.75,0.70,0.72,22,16,5,17,6
finetuned-qwen7b,per_class,own_identity,+O,0.77,0.79,0.85,0.81,13,11,3,6,2
finetuned-qwen7b,per_class,own_identity,-O,0.73,0.71,0.56,0.63,9,5,2,11,4
finetuned-qwen7b,macro_avg,unity,all,0.74,0.43,0.44,0.43,22,13,8,36,9
finetuned-qwen7b,per_class,unity,+U,0.68,0.80,0.62,0.70,13,8,2,7,5
finetuned-qwen7b,per_class,unity,-U,0.68,0.50,0.71,0.59,7,5,5,10,2
finetuned-qwen7b,per_class,unity,~U,0.86,0.00,0.00,0.00,2,0,1,19,2
finetuned-qwen7b,macro_avg,dependence,all,0.82,0.77,0.64,0.69,22,17,3,19,5
finetuned-qwen7b,per_class,dependence,+D,0.82,0.67,0.40,0.50,5,2,1,16,3
finetuned-qwen7b,per_class,dependence,-D,0.82,0.88,0.88,0.88,17,15,2,3,2
