agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
gemini-agents-no-files,overall,all,all,0.83,0.69,0.73,0.68,105,83,22,125,22
gemini-agents-no-files,macro_avg,rigidity,all,0.94,0.81,0.90,0.82,21,19,2,40,2
gemini-agents-no-files,per_class,rigidity,+R,0.95,0.93,1.00,0.96,13,13,1,7,0
gemini-agents-no-files,per_class,rigidity,-R,0.95,0.50,1.00,0.67,1,1,1,19,0
gemini-agents-no-files,per_class,rigidity,~R,0.90,1.00,0.71,0.83,7,5,0,14,2
gemini-agents-no-files,macro_avg,identity,all,0.86,0.64,0.70,0.66,21,18,3,18,3
gemini-agents-no-files,per_class,identity,+I,0.86,0.94,0.89,0.92,19,17,1,1,2
gemini-agents-no-files,per_class,identity,-I,0.86,0.33,0.50,0.40,2,1,2,17,1
gemini-agents-no-files,macro_avg,own_identity,all,0.76,0.78,0.71,0.72,21,16,5,16,5
gemini-agents-no-files,per_class,own_identity,+O,0.76,0.75,0.92,0.83,13,12,4,4,1
gemini-agents-no-files,per_class,own_identity,-O,0.76,0.80,0.50,0.62,8,4,1,12,4
gemini-agents-no-files,macro_avg,unity,all,0.78,0.45,0.49,0.45,21,14,7,35,7
gemini-agents-no-files,per_class,unity,+U,0.76,0.92,0.73,0.81,15,11,1,5,4
gemini-agents-no-files,per_class,unity,-U,0.76,0.43,0.75,0.55,4,3,4,13,1
gemini-agents-no-files,per_class,unity,~U,0.81,0.00,0.00,0.00,2,0,2,17,2
gemini-agents-no-files,macro_avg,dependence,all,0.76,0.77,0.83,0.75,21,16,5,16,5
gemini-agents-no-files,per_class,dependence,+D,0.76,0.55,1.00,0.71,6,6,5,10,0
gemini-agents-no-files,per_class,dependence,-D,0.76,1.00,0.67,0.80,15,10,0,6,5
