agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
gemini-no-files,overall,all,all,0.83,0.70,0.76,0.71,105,83,22,125,22
gemini-no-files,macro_avg,rigidity,all,0.90,0.79,0.86,0.77,21,18,3,39,3
gemini-no-files,per_class,rigidity,+R,0.90,0.87,1.00,0.93,13,13,2,6,0
gemini-no-files,per_class,rigidity,-R,0.95,0.50,1.00,0.67,1,1,1,19,0
gemini-no-files,per_class,rigidity,~R,0.86,1.00,0.57,0.73,7,4,0,14,3
gemini-no-files,macro_avg,identity,all,0.76,0.57,0.64,0.57,21,16,5,16,5
gemini-no-files,per_class,identity,+I,0.76,0.94,0.79,0.86,19,15,1,1,4
gemini-no-files,per_class,identity,-I,0.76,0.20,0.50,0.29,2,1,4,15,1
gemini-no-files,macro_avg,own_identity,all,0.67,0.67,0.68,0.66,21,14,7,14,7
gemini-no-files,per_class,own_identity,+O,0.67,0.80,0.62,0.70,13,8,2,6,5
gemini-no-files,per_class,own_identity,-O,0.67,0.55,0.75,0.63,8,6,5,8,2
gemini-no-files,macro_avg,unity,all,0.87,0.67,0.77,0.70,21,17,4,38,4
gemini-no-files,per_class,unity,+U,0.86,1.00,0.80,0.89,15,12,0,6,3
gemini-no-files,per_class,unity,-U,0.90,0.67,1.00,0.80,4,4,2,15,0
gemini-no-files,per_class,unity,~U,0.86,0.33,0.50,0.40,2,1,2,17,1
gemini-no-files,macro_avg,dependence,all,0.86,0.82,0.85,0.83,21,18,3,18,3
gemini-no-files,per_class,dependence,+D,0.86,0.71,0.83,0.77,6,5,2,13,1
gemini-no-files,per_class,dependence,-D,0.86,0.93,0.87,0.90,15,13,1,5,2
