agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
gemini-pdf,overall,all,all,0.83,0.70,0.73,0.69,105,84,21,126,21
gemini-pdf,macro_avg,rigidity,all,0.90,0.57,0.57,0.57,21,18,3,39,3
gemini-pdf,per_class,rigidity,+R,0.90,0.87,1.00,0.93,13,13,2,6,0
gemini-pdf,per_class,rigidity,-R,0.95,0.00,0.00,0.00,1,0,0,20,1
gemini-pdf,per_class,rigidity,~R,0.86,0.83,0.71,0.77,7,5,1,13,2
gemini-pdf,macro_avg,identity,all,0.71,0.55,0.62,0.54,21,15,6,15,6
gemini-pdf,per_class,identity,+I,0.71,0.93,0.74,0.82,19,14,1,1,5
gemini-pdf,per_class,identity,-I,0.71,0.17,0.50,0.25,2,1,5,14,1
gemini-pdf,macro_avg,own_identity,all,0.67,0.67,0.68,0.66,21,14,7,14,7
gemini-pdf,per_class,own_identity,+O,0.67,0.80,0.62,0.70,13,8,2,6,5
gemini-pdf,per_class,own_identity,-O,0.67,0.55,0.75,0.63,8,6,5,8,2
gemini-pdf,macro_avg,unity,all,0.87,0.72,0.85,0.76,21,17,4,38,4
gemini-pdf,per_class,unity,+U,0.81,0.92,0.80,0.86,15,12,1,5,3
gemini-pdf,per_class,unity,-U,0.90,0.75,0.75,0.75,4,3,1,16,1
gemini-pdf,per_class,unity,~U,0.90,0.50,1.00,0.67,2,2,2,17,0
gemini-pdf,macro_avg,dependence,all,0.95,0.97,0.92,0.94,21,20,1,20,1
gemini-pdf,per_class,dependence,+D,0.95,1.00,0.83,0.91,6,5,0,15,1
gemini-pdf,per_class,dependence,-D,0.95,0.94,1.00,0.97,15,15,1,5,0
