agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
anthropic-agents-with-intro,overall,all,all,0.78,0.61,0.67,0.60,105,77,28,119,28
anthropic-agents-with-intro,macro_avg,rigidity,all,0.78,0.66,0.71,0.53,21,14,7,35,7
anthropic-agents-with-intro,per_class,rigidity,+R,0.76,0.79,0.85,0.81,13,11,3,5,2
anthropic-agents-with-intro,per_class,rigidity,-R,0.81,0.20,1.00,0.33,1,1,4,16,0
anthropic-agents-with-intro,per_class,rigidity,~R,0.76,1.00,0.29,0.44,7,2,0,14,5
anthropic-agents-with-intro,macro_avg,identity,all,0.81,0.60,0.67,0.61,21,17,4,17,4
anthropic-agents-with-intro,per_class,identity,+I,0.81,0.94,0.84,0.89,19,16,1,1,3
anthropic-agents-with-intro,per_class,identity,-I,0.81,0.25,0.50,0.33,2,1,3,16,1
anthropic-agents-with-intro,macro_avg,own_identity,all,0.81,0.80,0.80,0.80,21,17,4,17,4
anthropic-agents-with-intro,per_class,own_identity,+O,0.81,0.85,0.85,0.85,13,11,2,6,2
anthropic-agents-with-intro,per_class,own_identity,-O,0.81,0.75,0.75,0.75,8,6,2,11,2
anthropic-agents-with-intro,macro_avg,unity,all,0.84,0.63,0.74,0.66,21,16,5,37,5
anthropic-agents-with-intro,per_class,unity,+U,0.81,1.00,0.73,0.85,15,11,0,6,4
anthropic-agents-with-intro,per_class,unity,-U,0.86,0.57,1.00,0.73,4,4,3,14,0
anthropic-agents-with-intro,per_class,unity,~U,0.86,0.33,0.50,0.40,2,1,2,17,1
anthropic-agents-with-intro,macro_avg,dependence,all,0.62,0.34,0.43,0.38,21,13,8,13,8
anthropic-agents-with-intro,per_class,dependence,+D,0.62,0.00,0.00,0.00,6,0,2,13,6
anthropic-agents-with-intro,per_class,dependence,-D,0.62,0.68,0.87,0.76,15,13,6,0,2
