agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
anthropic-corrected,overall,all,all,0.89,0.76,0.78,0.75,105,91,14,133,14
anthropic-corrected,macro_avg,rigidity,all,0.94,0.60,0.62,0.61,21,19,2,40,2
anthropic-corrected,per_class,rigidity,+R,0.95,0.93,1.00,0.96,13,13,1,7,0
anthropic-corrected,per_class,rigidity,-R,0.95,0.00,0.00,0.00,1,0,0,20,1
anthropic-corrected,per_class,rigidity,~R,0.90,0.86,0.86,0.86,7,6,1,13,1
anthropic-corrected,macro_avg,identity,all,0.90,0.75,0.95,0.81,21,19,2,19,2
anthropic-corrected,per_class,identity,+I,0.90,1.00,0.89,0.94,19,17,0,2,2
anthropic-corrected,per_class,identity,-I,0.90,0.50,1.00,0.67,2,2,2,17,0
anthropic-corrected,macro_avg,own_identity,all,0.81,0.80,0.80,0.80,21,17,4,17,4
anthropic-corrected,per_class,own_identity,+O,0.81,0.85,0.85,0.85,13,11,2,6,2
anthropic-corrected,per_class,own_identity,-O,0.81,0.75,0.75,0.75,8,6,2,11,2
anthropic-corrected,macro_avg,unity,all,0.94,0.89,0.81,0.81,21,19,2,40,2
anthropic-corrected,per_class,unity,+U,0.95,1.00,0.93,0.97,15,14,0,6,1
anthropic-corrected,per_class,unity,-U,0.90,0.67,1.00,0.80,4,4,2,15,0
anthropic-corrected,per_class,unity,~U,0.95,1.00,0.50,0.67,2,1,0,19,1
anthropic-corrected,macro_avg,dependence,all,0.81,0.79,0.72,0.74,21,17,4,17,4
anthropic-corrected,per_class,dependence,+D,0.81,0.75,0.50,0.60,6,3,1,14,3
anthropic-corrected,per_class,dependence,-D,0.81,0.82,0.93,0.87,15,14,3,3,1
