agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
anthropic-critic-no-files,overall,all,all,0.70,0.67,0.53,0.55,105,59,16,89,46
anthropic-critic-no-files,macro_avg,rigidity,all,0.76,0.75,0.68,0.59,21,12,3,27,9
anthropic-critic-no-files,per_class,rigidity,+R,0.72,1.00,0.62,0.76,13,8,0,5,5
anthropic-critic-no-files,per_class,rigidity,-R,0.80,0.25,1.00,0.40,1,1,3,11,0
anthropic-critic-no-files,per_class,rigidity,~R,0.78,1.00,0.43,0.60,7,3,0,11,4
anthropic-critic-no-files,macro_avg,identity,all,0.67,0.62,0.54,0.53,21,12,3,12,9
anthropic-critic-no-files,per_class,identity,+I,0.60,1.00,0.58,0.73,19,11,0,1,8
anthropic-critic-no-files,per_class,identity,-I,0.75,0.25,0.50,0.33,2,1,3,11,1
anthropic-critic-no-files,macro_avg,own_identity,all,0.56,0.68,0.48,0.55,21,10,5,10,11
anthropic-critic-no-files,per_class,own_identity,+O,0.56,0.86,0.46,0.60,13,6,1,4,7
anthropic-critic-no-files,per_class,own_identity,-O,0.56,0.50,0.50,0.50,8,4,4,6,4
anthropic-critic-no-files,macro_avg,unity,all,0.76,0.47,0.39,0.41,21,12,3,27,9
anthropic-critic-no-files,per_class,unity,+U,0.74,1.00,0.67,0.80,15,10,0,4,5
anthropic-critic-no-files,per_class,unity,-U,0.71,0.40,0.50,0.44,4,2,3,10,2
anthropic-critic-no-files,per_class,unity,~U,0.87,0.00,0.00,0.00,2,0,0,13,2
anthropic-critic-no-files,macro_avg,dependence,all,0.72,0.83,0.58,0.68,21,13,2,13,8
anthropic-critic-no-files,per_class,dependence,+D,0.76,0.75,0.50,0.60,6,3,1,10,3
anthropic-critic-no-files,per_class,dependence,-D,0.68,0.91,0.67,0.77,15,10,1,3,5
