agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
anthropic-critic-no-intro,overall,all,all,0.60,0.68,0.44,0.49,105,45,15,69,60
anthropic-critic-no-intro,macro_avg,rigidity,all,0.76,0.93,0.68,0.77,21,11,1,23,10
anthropic-critic-no-intro,per_class,rigidity,+R,0.61,1.00,0.46,0.63,13,6,0,5,7
anthropic-critic-no-intro,per_class,rigidity,-R,1.00,1.00,1.00,1.00,1,1,0,11,0
anthropic-critic-no-intro,per_class,rigidity,~R,0.73,0.80,0.57,0.67,7,4,1,7,3
anthropic-critic-no-intro,macro_avg,identity,all,0.55,0.62,0.46,0.46,21,9,3,9,12
anthropic-critic-no-intro,per_class,identity,+I,0.45,1.00,0.42,0.59,19,8,0,1,11
anthropic-critic-no-intro,per_class,identity,-I,0.69,0.25,0.50,0.33,2,1,3,8,1
anthropic-critic-no-intro,macro_avg,own_identity,all,0.42,0.75,0.39,0.41,21,7,5,7,14
anthropic-critic-no-intro,per_class,own_identity,+O,0.39,1.00,0.15,0.27,13,2,0,5,11
anthropic-critic-no-intro,per_class,own_identity,-O,0.47,0.50,0.62,0.56,8,5,5,2,3
anthropic-critic-no-intro,macro_avg,unity,all,0.67,0.47,0.32,0.36,21,9,3,21,12
anthropic-critic-no-intro,per_class,unity,+U,0.56,1.00,0.47,0.64,15,7,0,3,8
anthropic-critic-no-intro,per_class,unity,-U,0.64,0.40,0.50,0.44,4,2,3,7,2
anthropic-critic-no-intro,per_class,unity,~U,0.85,0.00,0.00,0.00,2,0,0,11,2
anthropic-critic-no-intro,macro_avg,dependence,all,0.55,0.65,0.35,0.45,21,9,3,9,12
anthropic-critic-no-intro,per_class,dependence,+D,0.60,0.50,0.17,0.25,6,1,1,8,5
anthropic-critic-no-intro,per_class,dependence,-D,0.50,0.80,0.53,0.64,15,8,2,1,7
