agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
claude_BootstrapFewShotWithRandomSearch_gpt4o-mini,overall,all,all,0.72,0.53,0.59,0.53,110,73,37,117,37
claude_BootstrapFewShotWithRandomSearch_gpt4o-mini,macro_avg,rigidity,all,0.61,0.29,0.51,0.26,22,9,13,31,13
claude_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,rigidity,~R,0.73,0.0,0.0,0.0,6,0,0,16,6
claude_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,rigidity,-R,0.5,0.08,1.0,0.15,1,1,11,10,0
claude_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,rigidity,+R,0.59,0.8,0.53,0.64,15,8,2,5,7
claude_BootstrapFewShotWithRandomSearch_gpt4o-mini,macro_avg,identity,all,0.82,0.61,0.61,0.61,22,18,4,18,4
claude_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,identity,+I,0.82,0.89,0.89,0.89,19,17,2,1,2
claude_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,identity,-I,0.82,0.33,0.33,0.33,3,1,2,17,2
claude_BootstrapFewShotWithRandomSearch_gpt4o-mini,macro_avg,own_identity,all,0.55,0.56,0.56,0.55,22,12,10,12,10
claude_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,own_identity,+O,0.55,0.67,0.46,0.55,13,6,3,6,7
claude_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,own_identity,-O,0.55,0.46,0.67,0.55,9,6,7,6,3
claude_BootstrapFewShotWithRandomSearch_gpt4o-mini,macro_avg,unity,all,0.88,0.55,0.57,0.56,22,18,4,40,4
claude_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,unity,~U,0.91,0.0,0.0,0.0,2,0,0,20,2
claude_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,unity,+U,0.86,0.81,1.0,0.9,13,13,3,6,0
claude_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,unity,-U,0.86,0.83,0.71,0.77,7,5,1,14,2
claude_BootstrapFewShotWithRandomSearch_gpt4o-mini,macro_avg,dependence,all,0.73,0.65,0.68,0.66,22,16,6,16,6
claude_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,dependence,+D,0.73,0.43,0.6,0.5,5,3,4,13,2
claude_BootstrapFewShotWithRandomSearch_gpt4o-mini,per_class,dependence,-D,0.73,0.87,0.76,0.81,17,13,2,3,4
