agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
claude_BootstrapFewShotWithRandomSearch_mistral-small-3.1,overall,all,all,0.71,0.6,0.66,0.58,110,72,38,116,38
claude_BootstrapFewShotWithRandomSearch_mistral-small-3.1,macro_avg,rigidity,all,0.7,0.49,0.68,0.49,22,12,10,34,10
claude_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,rigidity,~R,0.59,0.33,0.5,0.4,6,3,6,10,3
claude_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,rigidity,-R,0.86,0.25,1.0,0.4,1,1,3,18,0
claude_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,rigidity,+R,0.64,0.89,0.53,0.67,15,8,1,6,7
claude_BootstrapFewShotWithRandomSearch_mistral-small-3.1,macro_avg,identity,all,0.68,0.59,0.68,0.58,22,15,7,15,7
claude_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,identity,+I,0.68,0.93,0.68,0.79,19,13,1,2,6
claude_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,identity,-I,0.68,0.25,0.67,0.36,3,2,6,13,1
claude_BootstrapFewShotWithRandomSearch_mistral-small-3.1,macro_avg,own_identity,all,0.64,0.66,0.66,0.64,22,14,8,14,8
claude_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,own_identity,+O,0.64,0.78,0.54,0.64,13,7,2,7,6
claude_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,own_identity,-O,0.64,0.54,0.78,0.64,9,7,6,7,2
claude_BootstrapFewShotWithRandomSearch_mistral-small-3.1,macro_avg,unity,all,0.82,0.64,0.62,0.59,22,16,6,38,6
claude_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,unity,-U,0.77,0.75,0.43,0.55,7,3,1,14,4
claude_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,unity,~U,0.73,0.17,0.5,0.25,2,1,5,15,1
claude_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,unity,+U,0.95,1.0,0.92,0.96,13,12,0,9,1
claude_BootstrapFewShotWithRandomSearch_mistral-small-3.1,macro_avg,dependence,all,0.68,0.62,0.65,0.62,22,15,7,15,7
claude_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,dependence,+D,0.68,0.38,0.6,0.46,5,3,5,12,2
claude_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,dependence,-D,0.68,0.86,0.71,0.77,17,12,2,3,5
