agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
claude_BootstrapFewShot_gpt4o-mini,overall,all,all,0.67,0.6,0.5,0.47,110,66,44,110,44
claude_BootstrapFewShot_gpt4o-mini,macro_avg,rigidity,all,0.61,0.62,0.54,0.34,22,9,13,31,13
claude_BootstrapFewShot_gpt4o-mini,per_class,rigidity,~R,0.77,1.0,0.17,0.29,6,1,0,16,5
claude_BootstrapFewShot_gpt4o-mini,per_class,rigidity,+R,0.55,0.78,0.47,0.58,15,7,2,5,8
claude_BootstrapFewShot_gpt4o-mini,per_class,rigidity,-R,0.5,0.08,1.0,0.15,1,1,11,10,0
claude_BootstrapFewShot_gpt4o-mini,macro_avg,identity,all,0.91,0.95,0.67,0.73,22,20,2,20,2
claude_BootstrapFewShot_gpt4o-mini,per_class,identity,-I,0.91,1.0,0.33,0.5,3,1,0,19,2
claude_BootstrapFewShot_gpt4o-mini,per_class,identity,+I,0.91,0.9,1.0,0.95,19,19,2,1,0
claude_BootstrapFewShot_gpt4o-mini,macro_avg,own_identity,all,0.55,0.56,0.56,0.55,22,12,10,12,10
claude_BootstrapFewShot_gpt4o-mini,per_class,own_identity,-O,0.55,0.46,0.67,0.55,9,6,7,6,3
claude_BootstrapFewShot_gpt4o-mini,per_class,own_identity,+O,0.55,0.67,0.46,0.55,13,6,3,6,7
claude_BootstrapFewShot_gpt4o-mini,macro_avg,unity,all,0.79,0.55,0.43,0.41,22,15,7,37,7
claude_BootstrapFewShot_gpt4o-mini,per_class,unity,~U,0.91,0.0,0.0,0.0,2,0,0,20,2
claude_BootstrapFewShot_gpt4o-mini,per_class,unity,-U,0.77,1.0,0.29,0.44,7,2,0,15,5
claude_BootstrapFewShot_gpt4o-mini,per_class,unity,+U,0.68,0.65,1.0,0.79,13,13,7,2,0
claude_BootstrapFewShot_gpt4o-mini,macro_avg,dependence,all,0.45,0.33,0.29,0.31,22,10,12,10,12
claude_BootstrapFewShot_gpt4o-mini,per_class,dependence,+D,0.45,0.0,0.0,0.0,5,0,7,10,5
claude_BootstrapFewShot_gpt4o-mini,per_class,dependence,-D,0.45,0.67,0.59,0.62,17,10,5,0,7
