agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
claude_BootstrapFewShot_llama3b,overall,all,all,0.7,0.46,0.46,0.44,110,69,39,115,41
claude_BootstrapFewShot_llama3b,macro_avg,rigidity,all,0.64,0.45,0.3,0.35,22,9,11,33,13
claude_BootstrapFewShot_llama3b,per_class,rigidity,+R,0.55,0.86,0.4,0.55,15,6,1,6,9
claude_BootstrapFewShot_llama3b,per_class,rigidity,~R,0.73,0.5,0.5,0.5,6,3,3,13,3
claude_BootstrapFewShot_llama3b,per_class,rigidity,-R,0.64,0.0,0.0,0.0,1,0,7,14,1
claude_BootstrapFewShot_llama3b,macro_avg,identity,all,0.77,0.42,0.45,0.44,22,17,5,17,5
claude_BootstrapFewShot_llama3b,per_class,identity,-I,0.77,0.0,0.0,0.0,3,0,2,17,3
claude_BootstrapFewShot_llama3b,per_class,identity,+I,0.77,0.85,0.89,0.87,19,17,3,0,2
claude_BootstrapFewShot_llama3b,macro_avg,own_identity,all,0.59,0.62,0.62,0.59,22,13,9,13,9
claude_BootstrapFewShot_llama3b,per_class,own_identity,+O,0.59,0.75,0.46,0.57,13,6,2,7,7
claude_BootstrapFewShot_llama3b,per_class,own_identity,-O,0.59,0.5,0.78,0.61,9,7,7,6,2
claude_BootstrapFewShot_llama3b,macro_avg,unity,all,0.76,0.4,0.45,0.42,22,14,8,36,8
claude_BootstrapFewShot_llama3b,per_class,unity,+U,0.73,0.77,0.77,0.77,13,10,3,6,3
claude_BootstrapFewShot_llama3b,per_class,unity,~U,0.91,0.0,0.0,0.0,2,0,0,20,2
claude_BootstrapFewShot_llama3b,per_class,unity,-U,0.64,0.44,0.57,0.5,7,4,5,10,3
claude_BootstrapFewShot_llama3b,macro_avg,dependence,all,0.73,0.38,0.47,0.42,22,16,6,16,6
claude_BootstrapFewShot_llama3b,per_class,dependence,-D,0.73,0.76,0.94,0.84,17,16,5,0,1
claude_BootstrapFewShot_llama3b,per_class,dependence,+D,0.73,0.0,0.0,0.0,5,0,1,16,5
