agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
claude_BootstrapFewShot_mistral-small-3.1,overall,all,all,0.67,0.53,0.58,0.5,110,67,43,111,43
claude_BootstrapFewShot_mistral-small-3.1,macro_avg,rigidity,all,0.7,0.56,0.71,0.5,22,12,10,34,10
claude_BootstrapFewShot_mistral-small-3.1,per_class,rigidity,+R,0.59,0.88,0.47,0.61,15,7,1,6,8
claude_BootstrapFewShot_mistral-small-3.1,per_class,rigidity,-R,0.68,0.12,1.0,0.22,1,1,7,14,0
claude_BootstrapFewShot_mistral-small-3.1,per_class,rigidity,~R,0.82,0.67,0.67,0.67,6,4,2,14,2
claude_BootstrapFewShot_mistral-small-3.1,macro_avg,identity,all,0.68,0.59,0.68,0.58,22,15,7,15,7
claude_BootstrapFewShot_mistral-small-3.1,per_class,identity,-I,0.68,0.25,0.67,0.36,3,2,6,13,1
claude_BootstrapFewShot_mistral-small-3.1,per_class,identity,+I,0.68,0.93,0.68,0.79,19,13,1,2,6
claude_BootstrapFewShot_mistral-small-3.1,macro_avg,own_identity,all,0.45,0.51,0.5,0.44,22,10,12,10,12
claude_BootstrapFewShot_mistral-small-3.1,per_class,own_identity,+O,0.45,0.6,0.23,0.33,13,3,2,7,10
claude_BootstrapFewShot_mistral-small-3.1,per_class,own_identity,-O,0.45,0.41,0.78,0.54,9,7,10,3,2
claude_BootstrapFewShot_mistral-small-3.1,macro_avg,unity,all,0.82,0.47,0.48,0.47,22,16,6,38,6
claude_BootstrapFewShot_mistral-small-3.1,per_class,unity,~U,0.86,0.0,0.0,0.0,2,0,1,19,2
claude_BootstrapFewShot_mistral-small-3.1,per_class,unity,+U,0.86,0.81,1.0,0.9,13,13,3,6,0
claude_BootstrapFewShot_mistral-small-3.1,per_class,unity,-U,0.73,0.6,0.43,0.5,7,3,2,13,4
claude_BootstrapFewShot_mistral-small-3.1,macro_avg,dependence,all,0.64,0.54,0.55,0.54,22,14,8,14,8
claude_BootstrapFewShot_mistral-small-3.1,per_class,dependence,+D,0.64,0.29,0.4,0.33,5,2,5,12,3
claude_BootstrapFewShot_mistral-small-3.1,per_class,dependence,-D,0.64,0.8,0.71,0.75,17,12,3,2,5
