agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
claude_COPRO_qwen72b,overall,all,all,0.68,0.55,0.56,0.52,110,68,42,112,42
claude_COPRO_qwen72b,macro_avg,rigidity,all,0.58,0.3,0.21,0.24,22,8,14,30,14
claude_COPRO_qwen72b,per_class,rigidity,-R,0.73,0.0,0.0,0.0,1,0,5,16,1
claude_COPRO_qwen72b,per_class,rigidity,+R,0.55,0.78,0.47,0.58,15,7,2,5,8
claude_COPRO_qwen72b,per_class,rigidity,~R,0.45,0.12,0.17,0.14,6,1,7,9,5
claude_COPRO_qwen72b,macro_avg,identity,all,0.68,0.59,0.68,0.58,22,15,7,15,7
claude_COPRO_qwen72b,per_class,identity,+I,0.68,0.93,0.68,0.79,19,13,1,2,6
claude_COPRO_qwen72b,per_class,identity,-I,0.68,0.25,0.67,0.36,3,2,6,13,1
claude_COPRO_qwen72b,macro_avg,own_identity,all,0.55,0.55,0.55,0.54,22,12,10,12,10
claude_COPRO_qwen72b,per_class,own_identity,+O,0.55,0.64,0.54,0.58,13,7,4,5,6
claude_COPRO_qwen72b,per_class,own_identity,-O,0.55,0.45,0.56,0.5,9,5,6,7,4
claude_COPRO_qwen72b,macro_avg,unity,all,0.82,0.67,0.78,0.66,22,16,6,38,6
claude_COPRO_qwen72b,per_class,unity,-U,0.77,0.67,0.57,0.62,7,4,2,13,3
claude_COPRO_qwen72b,per_class,unity,+U,0.86,1.0,0.77,0.87,13,10,0,9,3
claude_COPRO_qwen72b,per_class,unity,~U,0.82,0.33,1.0,0.5,2,2,4,16,0
claude_COPRO_qwen72b,macro_avg,dependence,all,0.77,0.65,0.57,0.58,22,17,5,17,5
claude_COPRO_qwen72b,per_class,dependence,-D,0.77,0.8,0.94,0.86,17,16,4,1,1
claude_COPRO_qwen72b,per_class,dependence,+D,0.77,0.5,0.2,0.29,5,1,1,16,4
