agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
claude_MIPROv2_llama3b,overall,all,all,0.72,0.55,0.54,0.52,110,73,36,118,37
claude_MIPROv2_llama3b,macro_avg,rigidity,all,0.71,0.42,0.43,0.38,22,12,9,35,10
claude_MIPROv2_llama3b,per_class,rigidity,~R,0.59,0.38,0.83,0.53,6,5,8,8,1
claude_MIPROv2_llama3b,per_class,rigidity,+R,0.59,0.88,0.47,0.61,15,7,1,6,8
claude_MIPROv2_llama3b,per_class,rigidity,-R,0.95,0.0,0.0,0.0,1,0,0,21,1
claude_MIPROv2_llama3b,macro_avg,identity,all,0.77,0.57,0.59,0.58,22,17,5,17,5
claude_MIPROv2_llama3b,per_class,identity,-I,0.77,0.25,0.33,0.29,3,1,3,16,2
claude_MIPROv2_llama3b,per_class,identity,+I,0.77,0.89,0.84,0.86,19,16,2,1,3
claude_MIPROv2_llama3b,macro_avg,own_identity,all,0.64,0.7,0.68,0.63,22,14,8,14,8
claude_MIPROv2_llama3b,per_class,own_identity,+O,0.64,0.86,0.46,0.6,13,6,1,8,7
claude_MIPROv2_llama3b,per_class,own_identity,-O,0.64,0.53,0.89,0.67,9,8,7,6,1
claude_MIPROv2_llama3b,macro_avg,unity,all,0.76,0.44,0.4,0.39,22,14,8,36,8
claude_MIPROv2_llama3b,per_class,unity,-U,0.73,0.67,0.29,0.4,7,2,1,14,5
claude_MIPROv2_llama3b,per_class,unity,~U,0.86,0.0,0.0,0.0,2,0,1,19,2
claude_MIPROv2_llama3b,per_class,unity,+U,0.68,0.67,0.92,0.77,13,12,6,3,1
claude_MIPROv2_llama3b,macro_avg,dependence,all,0.73,0.61,0.61,0.61,22,16,6,16,6
claude_MIPROv2_llama3b,per_class,dependence,-D,0.73,0.82,0.82,0.82,17,14,3,2,3
claude_MIPROv2_llama3b,per_class,dependence,+D,0.73,0.4,0.4,0.4,5,2,3,14,3
