agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
claude_MIPROv2_qwen72b,overall,all,all,0.74,0.61,0.65,0.58,110,76,34,120,34
claude_MIPROv2_qwen72b,macro_avg,rigidity,all,0.73,0.55,0.7,0.51,22,13,9,35,9
claude_MIPROv2_qwen72b,per_class,rigidity,~R,0.77,0.6,0.5,0.55,6,3,2,14,3
claude_MIPROv2_qwen72b,per_class,rigidity,-R,0.73,0.14,1.0,0.25,1,1,6,15,0
claude_MIPROv2_qwen72b,per_class,rigidity,+R,0.68,0.9,0.6,0.72,15,9,1,6,6
claude_MIPROv2_qwen72b,macro_avg,identity,all,0.82,0.61,0.61,0.61,22,18,4,18,4
claude_MIPROv2_qwen72b,per_class,identity,+I,0.82,0.89,0.89,0.89,19,17,2,1,2
claude_MIPROv2_qwen72b,per_class,identity,-I,0.82,0.33,0.33,0.33,3,1,2,17,2
claude_MIPROv2_qwen72b,macro_avg,own_identity,all,0.64,0.66,0.66,0.64,22,14,8,14,8
claude_MIPROv2_qwen72b,per_class,own_identity,-O,0.64,0.54,0.78,0.64,9,7,6,7,2
claude_MIPROv2_qwen72b,per_class,own_identity,+O,0.64,0.78,0.54,0.64,13,7,2,7,6
claude_MIPROv2_qwen72b,macro_avg,unity,all,0.79,0.49,0.45,0.46,22,15,7,37,7
claude_MIPROv2_qwen72b,per_class,unity,~U,0.77,0.0,0.0,0.0,2,0,3,17,2
claude_MIPROv2_qwen72b,per_class,unity,-U,0.73,0.6,0.43,0.5,7,3,2,13,4
claude_MIPROv2_qwen72b,per_class,unity,+U,0.86,0.86,0.92,0.89,13,12,2,7,1
claude_MIPROv2_qwen72b,macro_avg,dependence,all,0.73,0.73,0.82,0.71,22,16,6,16,6
claude_MIPROv2_qwen72b,per_class,dependence,+D,0.73,0.45,1.0,0.62,5,5,6,11,0
claude_MIPROv2_qwen72b,per_class,dependence,-D,0.73,1.0,0.65,0.79,17,11,0,5,6
