agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
gemini_BootstrapFewShotWithRandomSearch_mistral-small-3.1,overall,all,all,0.73,0.65,0.71,0.61,110,75,35,119,35
gemini_BootstrapFewShotWithRandomSearch_mistral-small-3.1,macro_avg,rigidity,all,0.67,0.47,0.62,0.42,22,11,11,33,11
gemini_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,rigidity,-R,0.68,0.12,1.0,0.22,1,1,7,14,0
gemini_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,rigidity,+R,0.64,0.89,0.53,0.67,15,8,1,6,7
gemini_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,rigidity,~R,0.68,0.4,0.33,0.36,6,2,3,13,4
gemini_BootstrapFewShotWithRandomSearch_mistral-small-3.1,macro_avg,identity,all,0.77,0.64,0.73,0.65,22,17,5,17,5
gemini_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,identity,+I,0.77,0.94,0.79,0.86,19,15,1,2,4
gemini_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,identity,-I,0.77,0.33,0.67,0.44,3,2,4,15,1
gemini_BootstrapFewShotWithRandomSearch_mistral-small-3.1,macro_avg,own_identity,all,0.64,0.7,0.68,0.63,22,14,8,14,8
gemini_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,own_identity,+O,0.64,0.86,0.46,0.6,13,6,1,8,7
gemini_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,own_identity,-O,0.64,0.53,0.89,0.67,9,8,7,6,1
gemini_BootstrapFewShotWithRandomSearch_mistral-small-3.1,macro_avg,unity,all,0.85,0.75,0.78,0.67,22,17,5,39,5
gemini_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,unity,~U,0.82,0.33,1.0,0.5,2,2,4,16,0
gemini_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,unity,-U,0.82,1.0,0.43,0.6,7,3,0,15,4
gemini_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,unity,+U,0.91,0.92,0.92,0.92,13,12,1,8,1
gemini_BootstrapFewShotWithRandomSearch_mistral-small-3.1,macro_avg,dependence,all,0.73,0.68,0.75,0.69,22,16,6,16,6
gemini_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,dependence,-D,0.73,0.92,0.71,0.8,17,12,1,4,5
gemini_BootstrapFewShotWithRandomSearch_mistral-small-3.1,per_class,dependence,+D,0.73,0.44,0.8,0.57,5,4,5,12,1
