agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
gemini_BootstrapFewShotWithRandomSearch_qwen72b,overall,all,all,0.76,0.65,0.68,0.61,110,78,32,122,32
gemini_BootstrapFewShotWithRandomSearch_qwen72b,macro_avg,rigidity,all,0.67,0.66,0.62,0.44,22,11,11,33,11
gemini_BootstrapFewShotWithRandomSearch_qwen72b,per_class,rigidity,+R,0.64,0.89,0.53,0.67,15,8,1,6,7
gemini_BootstrapFewShotWithRandomSearch_qwen72b,per_class,rigidity,~R,0.82,1.0,0.33,0.5,6,2,0,16,4
gemini_BootstrapFewShotWithRandomSearch_qwen72b,per_class,rigidity,-R,0.55,0.09,1.0,0.17,1,1,10,11,0
gemini_BootstrapFewShotWithRandomSearch_qwen72b,macro_avg,identity,all,0.77,0.64,0.73,0.65,22,17,5,17,5
gemini_BootstrapFewShotWithRandomSearch_qwen72b,per_class,identity,+I,0.77,0.94,0.79,0.86,19,15,1,2,4
gemini_BootstrapFewShotWithRandomSearch_qwen72b,per_class,identity,-I,0.77,0.33,0.67,0.44,3,2,4,15,1
gemini_BootstrapFewShotWithRandomSearch_qwen72b,macro_avg,own_identity,all,0.68,0.69,0.7,0.68,22,15,7,15,7
gemini_BootstrapFewShotWithRandomSearch_qwen72b,per_class,own_identity,+O,0.68,0.8,0.62,0.7,13,8,2,7,5
gemini_BootstrapFewShotWithRandomSearch_qwen72b,per_class,own_identity,-O,0.68,0.58,0.78,0.67,9,7,5,8,2
gemini_BootstrapFewShotWithRandomSearch_qwen72b,macro_avg,unity,all,0.88,0.55,0.57,0.56,22,18,4,40,4
gemini_BootstrapFewShotWithRandomSearch_qwen72b,per_class,unity,-U,0.82,0.71,0.71,0.71,7,5,2,13,2
gemini_BootstrapFewShotWithRandomSearch_qwen72b,per_class,unity,+U,0.95,0.93,1.0,0.96,13,13,1,8,0
gemini_BootstrapFewShotWithRandomSearch_qwen72b,per_class,unity,~U,0.86,0.0,0.0,0.0,2,0,1,19,2
gemini_BootstrapFewShotWithRandomSearch_qwen72b,macro_avg,dependence,all,0.77,0.71,0.78,0.73,22,17,5,17,5
gemini_BootstrapFewShotWithRandomSearch_qwen72b,per_class,dependence,-D,0.77,0.93,0.76,0.84,17,13,1,4,4
gemini_BootstrapFewShotWithRandomSearch_qwen72b,per_class,dependence,+D,0.77,0.5,0.8,0.62,5,4,4,13,1
