agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
gemini_MIPROv2_llama70b,overall,all,all,0.76,0.57,0.58,0.56,110,78,32,122,32
gemini_MIPROv2_llama70b,macro_avg,rigidity,all,0.76,0.47,0.48,0.45,22,14,8,36,8
gemini_MIPROv2_llama70b,per_class,rigidity,~R,0.73,0.5,0.83,0.62,6,5,5,11,1
gemini_MIPROv2_llama70b,per_class,rigidity,-R,0.86,0.0,0.0,0.0,1,0,2,19,1
gemini_MIPROv2_llama70b,per_class,rigidity,+R,0.68,0.9,0.6,0.72,15,9,1,6,6
gemini_MIPROv2_llama70b,macro_avg,identity,all,0.77,0.57,0.59,0.58,22,17,5,17,5
gemini_MIPROv2_llama70b,per_class,identity,+I,0.77,0.89,0.84,0.86,19,16,2,1,3
gemini_MIPROv2_llama70b,per_class,identity,-I,0.77,0.25,0.33,0.29,3,1,3,16,2
gemini_MIPROv2_llama70b,macro_avg,own_identity,all,0.68,0.68,0.68,0.68,22,15,7,15,7
gemini_MIPROv2_llama70b,per_class,own_identity,-O,0.68,0.6,0.67,0.63,9,6,4,9,3
gemini_MIPROv2_llama70b,per_class,own_identity,+O,0.68,0.75,0.69,0.72,13,9,3,6,4
gemini_MIPROv2_llama70b,macro_avg,unity,all,0.79,0.46,0.43,0.41,22,15,7,37,7
gemini_MIPROv2_llama70b,per_class,unity,~U,0.86,0.0,0.0,0.0,2,0,1,19,2
gemini_MIPROv2_llama70b,per_class,unity,+U,0.77,0.72,1.0,0.84,13,13,5,4,0
gemini_MIPROv2_llama70b,per_class,unity,-U,0.73,0.67,0.29,0.4,7,2,1,14,5
gemini_MIPROv2_llama70b,macro_avg,dependence,all,0.77,0.69,0.71,0.7,22,17,5,17,5
gemini_MIPROv2_llama70b,per_class,dependence,+D,0.77,0.5,0.6,0.55,5,3,3,14,2
gemini_MIPROv2_llama70b,per_class,dependence,-D,0.77,0.88,0.82,0.85,17,14,2,3,3
