uri	label	definition	parent_label
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181	Conceptual Entity	An organizational header for concepts representing mostly abstract entities.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20189	Property or Attribute	A distinguishing quality or prominent aspect of a person, object, action, process, or substance.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22188	Experimental Organism Anatomical Concept	A biological structure, fluid or other substance that is present in a non-human organism; this includes anatomic entities found in organisms used in research settings. However, this grouping excludes single molecular entities.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612	Gene	A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1287	Recombinant Granulocyte Colony-Stimulating Factor	A recombinant therapeutic agent which is chemically identical to or similar to the endogenous cytokine granulocyte colony-stimulating factor (G-CSF).  Secreted by monocytes, macrophages and neutrophils and other cells after activation, G-CSF stimulates the proliferation and differentiation of hematopoietic progenitor cells committed to the neutrophil/ granulocyte lineage. (NCI04)	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28428	Retired Concept	Concept has been retired, and should not be used except to deal with old data.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12913	Abnormal Cell	An abnormal human cell type which can occur in either disease states or disease models.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20047	Diagnostic or Prognostic Factor	A characteristic of an organism that contributes to the diagnosis or treatment of a disease or to the prediction of clinical outcomes.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9305	Malignant Neoplasm	A neoplasm composed of atypical neoplastic, often pleomorphic cells that invade other tissues. Malignant neoplasms often metastasize to distant anatomic sites and may recur after excision. The most common malignant neoplasms are carcinomas, Hodgkin and non-Hodgkin lymphomas, leukemias, melanomas, and sarcomas.	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C477	Recombinant Erythropoietin	A recombinant therapeutic agent which is chemically identical to or similar to the endogenous glycoprotein erythropoietin (Epo).  Epo promotes the differentiation and maturation of hematopoietic progenitors into erythrocytes; is a mitogen and a chemoattractant for endothelial cells; stimulates activated and differentiated B-cells and enhances B-cell immunoglobulin production and proliferation; and is hypoxia-inducible. (NCI04)	
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12219	Anatomic Structure, System, or Substance	A human biological structure, fluid or other substance; excludes single molecular entities.	
